Date,Clics,Impressions,CTR,Position
2025-02-05,6443,371375,1.73%,23.8
2025-02-04,7479,364427,2.05%,21.81
2025-02-03,6973,406310,1.72%,23.84
2025-02-02,5339,394570,1.35%,32.08
2025-02-01,6742,386067,1.75%,25.75
2025-01-31,5820,394779,1.47%,24.46
2025-01-30,5656,335326,1.69%,21.25
2025-01-29,5796,337710,1.72%,21.13
2025-01-28,5912,337803,1.75%,20.49
2025-01-27,6380,362788,1.76%,20.06
2025-01-26,5269,299582,1.76%,23.85
2025-01-25,5479,344929,1.59%,23.11
2025-01-24,6268,348667,1.8%,20.94
2025-01-23,7224,369411,1.96%,21.78
2025-01-22,7275,337951,2.15%,19.94
2025-01-21,7461,389467,1.92%,22.24
2025-01-20,7582,393587,1.93%,22.6
2025-01-19,6121,349415,1.75%,24.93
2025-01-18,6845,382740,1.79%,25.02
2025-01-17,6971,376133,1.85%,23.01
2025-01-16,6731,355588,1.89%,19.45
2025-01-15,6667,359937,1.85%,18.99
2025-01-14,6768,400349,1.69%,21.15
2025-01-13,7138,418300,1.71%,20.61
2025-01-12,5517,375151,1.47%,27.59
2025-01-11,6118,399783,1.53%,22.72
2025-01-10,6595,382011,1.73%,19.73
2025-01-09,6851,373713,1.83%,18.33
2025-01-08,7614,388985,1.96%,19.01
2025-01-07,8938,381231,2.34%,17.44
2025-01-06,9062,385058,2.35%,17.22
2025-01-05,6841,324945,2.11%,23.28
2025-01-04,7424,381896,1.94%,20.02
2025-01-03,8890,405654,2.19%,18.07
2025-01-02,9196,422691,2.18%,19
2025-01-01,5947,278249,2.14%,20.3
2024-12-31,6859,330597,2.07%,20.12
2024-12-30,7025,404166,1.74%,18.34
2024-12-29,5662,315956,1.79%,22.36
2024-12-28,6163,401659,1.53%,23.32
2024-12-27,7080,397932,1.78%,19.84
2024-12-26,7163,384378,1.86%,17.09
2024-12-25,4189,233312,1.8%,22.01
2024-12-24,4978,289518,1.72%,20.76
2024-12-23,6431,381543,1.69%,18.9
2024-12-22,5109,355901,1.44%,26.18
2024-12-21,5605,387934,1.44%,23
2024-12-20,6172,387808,1.59%,19.41
2024-12-19,6230,342799,1.82%,16.12
2024-12-18,6581,371188,1.77%,19.07
2024-12-17,6786,394976,1.72%,20.42
2024-12-16,7584,420100,1.81%,19.98
2024-12-15,5501,324725,1.69%,23.65
2024-12-14,6234,383153,1.63%,20.99
2024-12-13,6862,436104,1.57%,16.83
2024-12-12,7693,494855,1.55%,18.5
2024-12-11,7785,494625,1.57%,18.31
2024-12-10,7987,503754,1.59%,18.69
2024-12-09,8873,536837,1.65%,19.07
2024-12-08,6466,415136,1.56%,23.16
2024-12-07,6848,466653,1.47%,20.93
2024-12-06,7708,495159,1.56%,17.89
2024-12-05,8763,528492,1.66%,18.42
2024-12-04,9849,534567,1.84%,18.74
2024-12-03,9106,499231,1.82%,16.2
2024-12-02,10790,601176,1.79%,17.35
2024-12-01,7585,436745,1.74%,20.44
2024-11-30,8333,493974,1.69%,19.92
2024-11-29,9810,533883,1.84%,16.13
2024-11-28,6386,359087,1.78%,20.21
2024-11-27,8326,511430,1.63%,17.94
2024-11-26,9222,565104,1.63%,17.52
2024-11-25,10135,584607,1.73%,16.77
2024-11-24,7545,445161,1.69%,20.4
2024-11-23,8075,505781,1.6%,18.72
2024-11-22,9180,580406,1.58%,18.23
2024-11-21,10155,564667,1.8%,16.62
2024-11-20,10081,545867,1.85%,17.38
2024-11-19,9800,521427,1.88%,17.28
2024-11-18,10183,543333,1.87%,18.48
2024-11-17,7259,409317,1.77%,22.25
2024-11-16,7210,464302,1.55%,21.74
2024-11-15,8032,458822,1.75%,17.9
2024-11-14,8643,458489,1.89%,16.37
2024-11-13,8465,460279,1.84%,16.61
2024-11-12,9100,521833,1.74%,19.16
2024-11-11,9393,510798,1.84%,17.58
2024-11-10,7013,392036,1.79%,21.55
2024-11-09,7303,446998,1.63%,20.92
2024-11-08,7789,460546,1.69%,18.02
2024-11-07,8339,445490,1.87%,16.65
2024-11-06,7535,422096,1.79%,17.02
